run_id,attack_type_label,tool,exact_command,target_ip,target_port,start_time_utc,end_time_utc,expected_honeypot,src_ip_seen,notes
TEST001,scan,nmap,"nmap -Pn -sV --version-intensity 0 -p 21,22,80,3306,3389 192.168.32.138",192.168.32.138,5-common,2026-07-09T13:52:17Z,2026-07-09T13:52:34Z,p0f/honeytrap/suricata,192.168.32.1,Step 2 dress-rehearsal
S001,scan,nmap,"nmap -Pn -sS -p 21,22,23,80,443 -T4 192.168.32.138",192.168.32.138,5-common,2026-07-09T16:46:37Z,2026-07-09T16:46:38Z,p0f/honeytrap/suricata,192.168.32.1,"SYN scan, 5-common, -T4"
S002,scan,nmap,nmap -Pn -sS --top-ports 50 -T3 192.168.32.138,192.168.32.138,top-50,2026-07-09T16:47:03Z,2026-07-09T16:47:04Z,p0f/honeytrap/suricata,192.168.32.1,"SYN scan, top-50, -T3"
S003,scan,nmap,nmap -Pn -sS --top-ports 100 -T5 192.168.32.138,192.168.32.138,top-100,2026-07-09T16:47:29Z,2026-07-09T16:47:30Z,p0f/honeytrap/suricata,192.168.32.1,"SYN scan, top-100, -T5"
S004,scan,nmap,nmap -Pn -sS --top-ports 200 -T4 192.168.32.138,192.168.32.138,top-200,2026-07-09T16:56:14Z,2026-07-09T16:56:15Z,p0f/honeytrap/suricata,192.168.32.1,"SYN scan, top-200, -T4"
S005,scan,nmap,nmap -Pn -sS --top-ports 500 -T3 192.168.32.138,192.168.32.138,top-500,2026-07-09T16:56:40Z,2026-07-09T16:56:43Z,p0f/honeytrap/suricata,192.168.32.1,"SYN scan, top-500, -T3"
S006,scan,nmap,nmap -Pn -sS -p 1-1000 -T5 192.168.32.138,192.168.32.138,1-1000,2026-07-09T16:57:08Z,2026-07-09T16:57:14Z,p0f/honeytrap/suricata,192.168.32.1,"SYN scan, 1-1000, -T5"
S007,scan,nmap,nmap -Pn -sS --top-ports 1000 -T4 192.168.32.138,192.168.32.138,top-1000,2026-07-09T16:57:39Z,2026-07-09T16:57:47Z,p0f/honeytrap/suricata,192.168.32.1,"SYN scan, top-1000, -T4"
S008,scan,nmap,"nmap -Pn -sT -p 21,22,23,80,443 -T3 192.168.32.138",192.168.32.138,5-common,2026-07-09T16:58:12Z,2026-07-09T16:58:13Z,p0f/honeytrap/suricata,192.168.32.1,"connect scan, 5-common, -T3"
S009,scan,nmap,nmap -Pn -sT --top-ports 50 -T5 192.168.32.138,192.168.32.138,top-50,2026-07-09T16:58:38Z,2026-07-09T16:58:39Z,p0f/honeytrap/suricata,192.168.32.1,"connect scan, top-50, -T5"
S010,scan,nmap,nmap -Pn -sT --top-ports 100 -T4 192.168.32.138,192.168.32.138,top-100,2026-07-09T16:59:04Z,2026-07-09T16:59:06Z,p0f/honeytrap/suricata,192.168.32.1,"connect scan, top-100, -T4"
S011,scan,nmap,nmap -Pn -sT --top-ports 200 -T3 192.168.32.138,192.168.32.138,top-200,2026-07-09T16:59:31Z,2026-07-09T16:59:32Z,p0f/honeytrap/suricata,192.168.32.1,"connect scan, top-200, -T3"
S012,scan,nmap,nmap -Pn -sT --top-ports 500 -T5 192.168.32.138,192.168.32.138,top-500,2026-07-09T16:59:57Z,2026-07-09T17:00:00Z,p0f/honeytrap/suricata,192.168.32.1,"connect scan, top-500, -T5"
S013,scan,nmap,nmap -Pn -sT -p 1-1000 -T4 192.168.32.138,192.168.32.138,1-1000,2026-07-09T17:00:25Z,2026-07-09T17:00:30Z,p0f/honeytrap/suricata,192.168.32.1,"connect scan, 1-1000, -T4"
S014,scan,nmap,nmap -Pn -sT --top-ports 1000 -T3 192.168.32.138,192.168.32.138,top-1000,2026-07-09T17:00:55Z,2026-07-09T17:01:00Z,p0f/honeytrap/suricata,192.168.32.1,"connect scan, top-1000, -T3"
S015,scan,nmap,"nmap -Pn -sV --version-intensity 0 -p 21,22,23,80,443 -T5 192.168.32.138",192.168.32.138,5-common,2026-07-09T17:01:25Z,2026-07-09T17:01:43Z,p0f/honeytrap/suricata,192.168.32.1,"version scan, 5-common, -T5"
S016,scan,nmap,nmap -Pn -sV --version-intensity 0 --top-ports 50 -T4 192.168.32.138,192.168.32.138,top-50,2026-07-09T17:02:08Z,2026-07-09T17:02:45Z,p0f/honeytrap/suricata,192.168.32.1,"version scan, top-50, -T4"
S017,scan,nmap,nmap -Pn -sV --version-intensity 0 --top-ports 100 -T3 192.168.32.138,192.168.32.138,top-100,2026-07-09T17:03:10Z,2026-07-09T17:04:04Z,p0f/honeytrap/suricata,192.168.32.1,"version scan, top-100, -T3"
S018,scan,nmap,nmap -Pn -sV --version-intensity 0 --top-ports 200 -T5 192.168.32.138,192.168.32.138,top-200,2026-07-09T17:04:29Z,2026-07-09T17:05:45Z,p0f/honeytrap/suricata,192.168.32.1,"version scan, top-200, -T5"
S019,scan,nmap,nmap -Pn -sV --version-intensity 0 --top-ports 500 -T4 192.168.32.138,192.168.32.138,top-500,2026-07-09T17:06:10Z,2026-07-09T17:08:42Z,p0f/honeytrap/suricata,192.168.32.1,"version scan, top-500, -T4"
S020,scan,nmap,nmap -Pn -sV --version-intensity 0 -p 1-1000 -T3 192.168.32.138,192.168.32.138,1-1000,2026-07-09T17:09:07Z,2026-07-09T17:09:28Z,p0f/honeytrap/suricata,192.168.32.1,"version scan, 1-1000, -T3"
S021,scan,nmap,nmap -Pn -sV --version-intensity 0 --top-ports 1000 -T5 192.168.32.138,192.168.32.138,top-1000,2026-07-09T17:09:53Z,2026-07-09T17:12:54Z,p0f/honeytrap/suricata,192.168.32.1,"version scan, top-1000, -T5"
S022,scan,nmap,nmap -Pn -sS -p- -T4 192.168.32.138,192.168.32.138,all-ports,2026-07-09T17:13:19Z,2026-07-09T17:28:19Z,p0f/honeytrap/suricata,192.168.32.1,"SYN full port (HEAVY, minutes) (TIMEOUT)"
S023,scan,nmap,nmap -Pn -sU --top-ports 30 -T4 192.168.32.138,192.168.32.138,udp-top-30,2026-07-09T17:28:44Z,2026-07-09T17:29:00Z,dionaea/honeytrap,192.168.32.1,UDP scan (slow)
S024,scan,nmap,nmap -Pn -A --top-ports 50 -T4 192.168.32.138,192.168.32.138,top-50,2026-07-09T17:29:25Z,2026-07-09T17:35:42Z,p0f/honeytrap/suricata/cowrie,192.168.32.1,aggressive scan
S025,scan,nmap,nmap -Pn -A --top-ports 100 -T4 192.168.32.138,192.168.32.138,top-100,2026-07-09T17:36:07Z,2026-07-09T17:46:30Z,p0f/honeytrap/suricata/cowrie,192.168.32.1,aggressive scan wider
S026,scan,nmap,nmap -Pn -sS -O --top-ports 100 -T4 192.168.32.138,192.168.32.138,top-100,2026-07-09T17:46:55Z,2026-07-09T17:46:58Z,p0f/honeytrap/suricata,192.168.32.1,SYN + OS detect
S027,scan,nmap,nmap -Pn -sS -O --top-ports 500 -T4 192.168.32.138,192.168.32.138,top-500,2026-07-09T17:47:23Z,2026-07-09T17:47:26Z,p0f/honeytrap/suricata,192.168.32.1,SYN + OS detect wide
S028,scan,nmap,nmap -Pn -sV --version-intensity 5 --top-ports 100 -T4 192.168.32.138,192.168.32.138,top-100,2026-07-09T17:47:51Z,2026-07-09T17:50:45Z,p0f/honeytrap/suricata,192.168.32.1,version intensity 5
