run_id,label,events_exported,start_utc,end_utc
S001,scan,5,2026-07-09T16:46:37Z,2026-07-09T16:46:38Z
S002,scan,51,2026-07-09T16:47:03Z,2026-07-09T16:47:04Z
S003,scan,101,2026-07-09T16:47:29Z,2026-07-09T16:47:30Z
S004,scan,201,2026-07-09T16:56:14Z,2026-07-09T16:56:15Z
S005,scan,501,2026-07-09T16:56:40Z,2026-07-09T16:56:43Z
S006,scan,1596,2026-07-09T16:57:08Z,2026-07-09T16:57:14Z
S007,scan,1661,2026-07-09T16:57:39Z,2026-07-09T16:57:47Z
S008,scan,641,2026-07-09T16:58:12Z,2026-07-09T16:58:13Z
S009,scan,231,2026-07-09T16:58:38Z,2026-07-09T16:58:39Z
S010,scan,351,2026-07-09T16:59:04Z,2026-07-09T16:59:06Z
S011,scan,720,2026-07-09T16:59:31Z,2026-07-09T16:59:32Z
S012,scan,1882,2026-07-09T16:59:57Z,2026-07-09T17:00:00Z
S013,scan,2172,2026-07-09T17:00:25Z,2026-07-09T17:00:30Z
S014,scan,4105,2026-07-09T17:00:55Z,2026-07-09T17:01:00Z
S015,scan,1058,2026-07-09T17:01:25Z,2026-07-09T17:01:43Z
S016,scan,963,2026-07-09T17:02:08Z,2026-07-09T17:02:45Z
S017,scan,1001,2026-07-09T17:03:10Z,2026-07-09T17:04:04Z
S018,scan,2051,2026-07-09T17:04:29Z,2026-07-09T17:05:45Z
S019,scan,4734,2026-07-09T17:06:10Z,2026-07-09T17:08:42Z
S020,scan,1349,2026-07-09T17:09:07Z,2026-07-09T17:09:28Z
S021,scan,9331,2026-07-09T17:09:53Z,2026-07-09T17:12:54Z
S022,scan,135802,2026-07-09T17:13:19Z,2026-07-09T17:28:19Z
S023,scan,1577,2026-07-09T17:28:44Z,2026-07-09T17:29:00Z
S024,scan,9973,2026-07-09T17:29:25Z,2026-07-09T17:35:42Z
S025,scan,17011,2026-07-09T17:36:07Z,2026-07-09T17:46:30Z
S026,scan,135,2026-07-09T17:46:55Z,2026-07-09T17:46:58Z
S027,scan,539,2026-07-09T17:47:23Z,2026-07-09T17:47:26Z
S028,scan,6132,2026-07-09T17:47:51Z,2026-07-09T17:50:45Z
S029,scan,89,2026-07-09T17:51:10Z,2026-07-09T17:51:22Z
S030,scan,110,2026-07-09T17:51:47Z,2026-07-09T17:52:02Z
P001,post_exploitation,23,2026-07-10T22:25:21Z,2026-07-10T22:25:22Z
P002,post_exploitation,28,2026-07-10T22:25:47Z,2026-07-10T22:25:47Z
P003,post_exploitation,30,2026-07-10T22:26:12Z,2026-07-10T22:26:13Z
P004,post_exploitation,29,2026-07-10T23:25:36Z,2026-07-10T23:25:37Z
P005,post_exploitation,27,2026-07-10T23:26:02Z,2026-07-10T23:26:02Z
P006,post_exploitation,23,2026-07-10T23:26:27Z,2026-07-10T23:26:27Z
P007,post_exploitation,23,2026-07-10T23:26:52Z,2026-07-10T23:26:53Z
P008,post_exploitation,28,2026-07-10T23:27:18Z,2026-07-10T23:27:18Z
