run_id,label,total_events,duration_sec,events_per_sec,inter_event_mean,inter_event_std,burst_max_per_sec,burstiness,distinct_dest_ports,distinct_src_ports,ports_per_event,frac_on_top_port,distinct_protocols,n_login_fail,n_login_success,n_commands,n_command_failed,n_sessions,n_file_downloads,distinct_commands,n_auth_other,n_http_events,n_web_80,n_web_8080,distinct_web_paths,n_suricata_alerts,n_suricata_flows,n_alert_sev_high,n_alert_sev_info,distinct_signatures,any_login_attempt,any_login_success,any_command_run,any_file_download,any_web_request
B001,online_guessing,56,1.0,56.0,0.0182,0.1336,53,1.893,1,5,0.01786,1.0,2,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
B002,online_guessing,82,7.0,11.7143,0.0864,0.281,47,4.585,1,10,0.0122,1.0,2,23,1,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0
B003,online_guessing,68,6.0,11.3333,0.0896,0.4136,53,3.897,1,9,0.01471,1.0,2,11,1,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0
B004,online_guessing,518,21.0,24.6667,0.0406,0.1974,62,2.633,1,46,0.00193,1.0,2,75,1,0,0,41,0,0,0,0,0,0,0,1,5,0,1,1,1,1,0,0,0
B005,online_guessing,694,67.0,10.3582,0.0967,0.3098,51,4.85,1,54,0.00144,1.0,2,248,1,0,0,41,0,0,0,0,0,0,0,0,14,0,0,0,1,1,0,0,0
B006,online_guessing,830,96.0,8.6458,0.1158,0.32,54,6.311,1,44,0.0012,1.0,2,370,1,0,0,41,0,0,0,0,0,0,0,1,20,1,0,1,1,1,0,0,0
B007,online_guessing,64,28.0,2.2857,0.4444,0.6115,24,9.75,1,8,0.01562,1.0,2,24,1,0,0,3,0,0,0,0,0,0,0,1,5,0,1,1,1,1,0,0,0
B008,online_guessing,108,7.0,15.4286,0.0654,0.3687,93,4.306,1,11,0.00926,1.0,2,12,1,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
B009,online_guessing,211,78.0,2.7051,0.3714,0.4929,22,8.133,2,21,0.00948,0.9902,4,75,1,0,0,11,0,0,0,0,0,0,0,1,13,1,0,1,1,1,0,0,0
B010,online_guessing,1103,35.0,31.5143,0.0318,0.1805,91,2.888,1,82,0.00091,1.0,2,248,1,0,0,81,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0
B011,online_guessing,96,11.0,8.7273,0.1158,0.32,39,4.875,1,24,0.01042,1.0,2,25,0,0,0,5,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0
B012,online_guessing,64,6.0,10.6667,0.0952,0.4259,53,4.141,1,9,0.01562,1.0,2,8,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
B013,online_guessing,518,39.0,13.2821,0.0754,0.2641,44,3.398,1,46,0.00193,1.0,2,75,1,0,0,41,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0
B014,online_guessing,50,8.0,6.25,0.1633,0.4212,37,5.92,1,15,0.02,1.0,2,3,1,0,0,3,0,0,0,0,0,0,0,2,12,1,1,2,1,1,0,0,0
B015,online_guessing,59,12.0,4.9167,0.2069,0.4051,32,7.051,1,6,0.01695,1.0,2,23,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0
B016,online_guessing,490,128.0,3.8281,0.2618,0.4442,31,8.098,1,22,0.00204,1.0,2,248,1,0,0,21,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0
B017,online_guessing,80,9.0,8.8889,0.1139,0.3177,43,5.375,1,7,0.0125,1.0,2,25,0,0,0,5,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0
B018,online_guessing,70,8.0,8.75,0.1159,0.4353,47,4.7,1,10,0.01429,1.0,2,11,1,0,0,5,0,0,0,0,0,0,0,1,5,1,0,1,1,1,0,0,0
B019,online_guessing,357,9.0,39.6667,0.0253,0.174,68,1.714,2,45,0.0056,0.986,2,0,0,0,0,0,0,0,40,0,0,0,0,0,5,0,0,0,1,0,0,0,0
B020,online_guessing,60,7.0,8.5714,0.1186,0.3234,37,4.933,1,30,0.01667,1.0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,26,0,0,0,1,0,0,0,0
